FECHA;BCOLO;BOGOTA;BVC;CELSIA;CEMARGOS;CNEC;CORFICOL ;ECOPETL;ETB;GEB;GRUPOARG;GRUPOBOL;GRUPOSUR;ISA;MINEROS;NUTRESA;PFAVAL;PFBCOLO;PFCEMARG;PFCORCOL;PFDAVVND;PFGRUPOA;PFGRUPSU;PROMIG;TERPEL
7/06/2017;30820.00;62800.00;12350.00;4574.33;12200.00;8720.00;20442.14;1370.00;618.00;1960.00;21380.00;53000.00;38900.00;13880.00;2580.00;26160.00;1235.00;32500.00;10900.00;17151.54;32600.00;19780.00;37940.00;5200.00;12540.00
8/06/2017;30680.00;62940.00;12450.00;4589.16;12160.00;8790.00;20976.87;1350.00;615.00;1980.00;21040.00;53000.00;38720.00;13860.00;2630.00;26260.00;1230.00;32780.00;10820.00;17151.54;32640.00;19700.00;37780.00;5200.00;12000.00
9/06/2017;30520.00;63000.00;12500.00;4549.60;12240.00;8830.00;20946.31;1370.00;619.00;1975.00;21240.00;53000.00;38900.00;13480.00;2655.00;26260.00;1240.00;32600.00;10860.00;17151.54;32640.00;19700.00;38000.00;5200.00;12000.00
12/06/2017;30780.00;62980.00;12450.00;4584.22;12160.00;9000.00;20717.14;1360.00;626.00;1975.00;21020.00;53000.00;38800.00;13300.00;2670.00;26180.00;1230.00;32800.00;10760.00;17151.54;32400.00;19680.00;38100.00;5200.00;12000.00
13/06/2017;30800.00;62980.00;12450.00;4549.60;12160.00;9160.00;20701.86;1365.00;620.00;1975.00;21000.00;53000.00;38900.00;13500.00;2700.00;26100.00;1235.00;33140.00;10760.00;17151.54;32640.00;19660.00;38080.00;5200.00;12000.00
14/06/2017;31180.00;62960.00;12450.00;4549.60;12100.00;9150.00;20717.14;1350.00;618.00;1970.00;21400.00;53000.00;39000.00;13640.00;2705.00;26080.00;1245.00;33500.00;10700.00;15863.30;32740.00;19680.00;38180.00;5200.00;12400.00
15/06/2017;30900.00;63000.00;12500.00;4579.27;12100.00;9130.00;20701.86;1340.00;615.00;1985.00;21240.00;53000.00;39180.00;13760.00;2700.00;26220.00;1240.00;33400.00;10700.00;15863.30;33000.00;19720.00;38000.00;5200.00;12400.00
16/06/2017;31980.00;63000.00;12500.00;4599.05;11860.00;9300.00;20686.59;1365.00;612.00;1995.00;21400.00;53000.00;38940.00;13520.00;2710.00;26000.00;1220.00;34200.00;10780.00;15878.28;33360.00;19900.00;38400.00;5200.00;12400.00
19/06/2017;31980.00;63000.00;12500.00;4599.05;11860.00;9300.00;20686.59;1365.00;612.00;1995.00;21400.00;53000.00;38940.00;13520.00;2710.00;26000.00;1220.00;34200.00;10780.00;15878.28;33360.00;19900.00;38400.00;5200.00;12400.00
20/06/2017;31680.00;62500.00;12600.00;4490.26;11440.00;9400.00;20319.91;1325.00;610.00;1985.00;20940.00;53000.00;38620.00;13600.00;2700.00;26000.00;1225.00;34280.00;10600.00;15593.67;32900.00;19620.00;38020.00;5200.00;12400.00
21/06/2017;30680.00;63300.00;12600.00;4519.93;11400.00;9340.00;20396.30;1325.00;605.00;1970.00;21000.00;53000.00;38780.00;13400.00;2685.00;25800.00;1220.00;33000.00;10260.00;15593.67;32440.00;19880.00;37860.00;5200.00;12400.00
22/06/2017;30000.00;62800.00;12550.00;4465.53;11780.00;9390.00;20396.30;1350.00;610.00;2000.00;21200.00;53000.00;38960.00;13460.00;2685.00;25700.00;1215.00;32180.00;10400.00;15428.90;32600.00;19700.00;38200.00;5200.00;12400.00
23/06/2017;30100.00;62620.00;12550.00;4514.99;11780.00;9390.00;20396.30;1340.00;610.00;2020.00;20860.00;53000.00;38800.00;13600.00;2700.00;25900.00;1215.00;32140.00;10440.00;15428.90;32600.00;19780.00;38080.00;5200.00;12400.00
26/06/2017;30100.00;62620.00;12550.00;4514.99;11780.00;9390.00;20396.30;1340.00;610.00;2020.00;20860.00;53000.00;38800.00;13600.00;2700.00;25900.00;1215.00;32140.00;10440.00;15428.90;32600.00;19780.00;38080.00;5200.00;12400.00
27/06/2017;30400.00;62960.00;12600.00;4480.37;11760.00;9400.00;20151.85;1340.00;618.00;2005.00;20620.00;53000.00;38900.00;13380.00;2700.00;26080.00;1210.00;32800.00;10540.00;15428.90;32340.00;19780.00;38040.00;5200.00;12400.00
28/06/2017;31000.00;62960.00;12600.00;4549.60;11760.00;9800.00;20060.18;1340.00;616.00;1980.00;20860.00;53000.00;39100.00;13460.00;2705.00;26000.00;1225.00;33680.00;10580.00;15354.00;32900.00;19700.00;38500.00;5160.00;12000.00
29/06/2017;31600.00;62200.00;12600.00;4524.88;11800.00;9820.00;20167.13;1360.00;616.00;1985.00;20880.00;53000.00;39300.00;13500.00;2705.00;26300.00;1250.00;34000.00;10620.00;15354.00;32880.00;19700.00;38480.00;5160.00;12000.00
30/06/2017;31780.00;62980.00;12350.00;4549.60;11840.00;10040.00;20426.86;1380.00;618.00;1970.00;20740.00;53000.00;39600.00;13340.00;2710.00;26400.00;1255.00;33900.00;10640.00;15354.00;33680.00;19700.00;38620.00;5200.00;12000.00
3/07/2017;31780.00;62980.00;12350.00;4549.60;11840.00;10040.00;20426.86;1380.00;618.00;1970.00;20740.00;53000.00;39600.00;13340.00;2710.00;26400.00;1255.00;33900.00;10640.00;15354.00;33680.00;19700.00;38620.00;5200.00;12000.00
4/07/2017;32100.00;63000.00;12400.00;4569.38;11940.00;10400.00;20396.30;1395.00;613.00;1990.00;20900.00;53000.00;40200.00;13460.00;2710.00;26300.00;1260.00;34200.00;10800.00;15354.00;33840.00;19820.00;39200.00;5300.00;12300.00
5/07/2017;32300.00;62880.00;12500.00;4559.49;11940.00;10460.00;20701.86;1365.00;619.00;1980.00;21060.00;53000.00;40600.00;13700.00;2700.00;26340.00;1280.00;34400.00;10740.00;15383.96;33980.00;19780.00;39700.00;5300.00;12300.00
6/07/2017;32200.00;63500.00;12500.00;4549.60;11880.00;10580.00;21022.70;1380.00;611.00;1975.00;21200.00;53000.00;41000.00;13640.00;2735.00;26200.00;1295.00;34200.00;10740.00;15383.96;34040.00;19620.00;39980.00;5300.00;12300.00
7/07/2017;31680.00;63480.00;12500.00;4475.42;11680.00;10460.00;21099.10;1355.00;617.00;1970.00;21180.00;53000.00;40680.00;13500.00;2735.00;26080.00;1285.00;33700.00;10700.00;15728.49;34520.00;19700.00;39660.00;5300.00;12300.00
