FECHA;AESANDES;AGUAS/A;ANDINAB;BCI;BSAN;CAP;CCU;CENCOSUD;CHILE;CMPC;COLBUN;CONCHA;COPEC;ECL;ENELAM;ENELCHIL;ENTEL;FALAB;IAM;ILC;ITAUCORP;PARAUCO;RIPLEY;SECUR;SMU;SONDA;SQM/B;VAPORES
7/06/2017;251.27;375.49;2781.8;33765.73;40.59;6071.9;8931.9;1847.6;82.225;1645.7;151.53;1042.1;7789.1;1198.5;127.26;75.2;7596.3;5683.6;1084.4;8894.6;5.833;1734;508.7;232.888;167.9;1108.6;23586.07;24.139
8/06/2017;249.405;378.31;2765.1;33959.15;40.48;6015.9;8719;1827.8;82.111;1636.5;149.7;1043.5;7698.2;1199;126.39;74.84;7526.9;5675.7;1102.2;8870.3;5.82;1714.1;509.93;232.987;166.99;1092.4;23515.14;23.496
9/06/2017;249.71;376.77;2720.5;33643.61;40.61;5995.6;8593.1;1833.1;81.882;1613.5;148.13;1033.4;7731.8;1194.4;126.59;74.32;7468.6;5693.2;1101.2;8805.5;5.819;1711.5;510.07;232.997;166.92;1090.6;23475.74;23.808
12/06/2017;248.121;376.32;2718.5;33401.16;41.07;5976.7;8553.6;1821.5;81.835;1637.5;151.65;1026.1;7743.5;1209.9;126.59;73.65;7554.7;5742;1095.8;8885.2;5.75;1706;511.84;233.086;166.9;1086;23039.3;23.735
13/06/2017;247.194;376.99;2735.1;33133.75;42.1;5671.5;8696.9;1822.9;82.425;1638.9;152.98;1028.4;7834.5;1215;127.29;73.6;7567.4;5750.4;1124.2;8900;5.835;1695;511.89;233.056;165;1090.9;23632.38;23.68
14/06/2017;248.447;379.79;2784.7;33096.31;42.26;5306;8713.2;1829.6;83.178;1628.2;151.89;1031.9;7804.5;1218.1;127.92;73.97;7548.3;5799.2;1135.6;8853.7;5.813;1695.7;509.7;234.563;165;1090.4;23414.65;23.845
15/06/2017;247.065;378.48;2771.6;32904.67;42.29;5140.8;8649.4;1816.9;83.111;1610.8;149.36;1037;7869.5;1225;126.39;73.78;7453.4;5789.8;1120.1;8864.7;5.724;1716.5;510.01;234.761;171;1066.3;22668.88;23.468
16/06/2017;245.624;389.92;2719.8;33556.26;42.24;5242.6;8747;1796.3;83.435;1619;148.51;1050.5;7693.8;1226.4;127.1;73.42;7517.2;5672.9;1094.5;8699;5.638;1712.4;515.81;233.473;165.26;1081.2;22582.18;22.981
19/06/2017;247.055;382.63;2756.4;33901.21;42.29;5079.7;8712.8;1777.8;82.635;1605.7;148.27;1040.1;7645.7;1233.7;126.55;73.85;7458.3;5657;1078.4;8700;5.621;1728.3;511.52;232.016;165.26;1085.3;22158.56;23.054
20/06/2017;245.071;384.22;2755.1;33559.82;42.08;4797.6;8769.1;1755.4;82.035;1612;148.85;1032.1;7548.8;1224.4;126.39;73.7;7437.5;5629.2;1071.3;8655.2;5.559;1700.6;507.58;232.055;166.97;1085.3;21971.37;22.806
21/06/2017;242.298;379.13;2704.6;32948.35;41.87;4848;8798.6;1761.1;82.082;1592.1;145.65;1034.9;7476;1206.1;123.63;73.68;7287.2;5584;1058.5;8533.7;5.522;1684.4;507.98;229.816;165.49;1095;21368.45;23.137
22/06/2017;241.153;382.6;2738.3;32647.07;41.84;4857.2;8693.4;1774.7;81.806;1586.4;145.67;1038.9;7540.8;1211;123.35;74;7355.5;5553.7;1064.6;8567.6;5.54;1710.8;510;229.816;163;1089;21398.99;22.99
23/06/2017;243.166;381.49;2751.6;33148.01;41.66;4802.2;8711.6;1768.9;81.968;1583.5;145.14;1046.2;7492.6;1230;124.9;73.41;7343.1;5606.5;1088.5;8550;5.532;1692.4;511.15;231.738;168;1098.9;21757.59;23.266
26/06/2017;243.166;381.49;2751.6;33148.01;41.66;4802.2;8711.6;1768.9;81.968;1583.5;145.14;1046.2;7492.6;1230;124.9;73.41;7343.1;5606.5;1088.5;8550;5.532;1692.4;511.15;231.738;168;1098.9;21757.59;23.266
27/06/2017;238.656;385.55;2755.2;32961.72;41.86;5114;8768.5;1765.8;81.958;1578.3;144.92;1037.4;7334.6;1228.7;126.31;73.21;7310;5459.9;1107;8496;5.498;1703.2;515.45;231.6;168;1087.6;21850.2;23.082
28/06/2017;236.899;384.53;2784.4;33147.12;42.06;5368.8;8853.9;1759.7;81.882;1569.2;143.46;1031.6;7174.6;1223.1;126.35;72.81;7225.2;5459.2;1112;8376;5.475;1686.3;512.15;228.924;167;1082.7;21982.21;23.422
29/06/2017;231.667;386.17;2800.9;33055.31;41.97;5478.8;8744.9;1749.4;82.13;1556.4;144.7;1028.3;7239;1210.1;125.17;71.69;7217.3;5401.9;1110.9;8193.3;5.458;1675.7;509.8;229.023;167.5;1072.6;21823.6;23.091
30/06/2017;230.917;388.94;2809.1;33067.79;42.24;5307.8;8706.4;1763.2;82.149;1586.7;142.77;1026.2;7249;1213.1;125.91;72.8;7235.3;5454.1;1124.2;8233.6;5.475;1671;506.1;228.924;168;1088.4;21696.51;23.045
3/07/2017;229.98;387.57;2830.3;33369.96;42.99;5260.9;8710.3;1763.1;82.826;1584;144.56;1025;7307.1;1220;127.28;73.67;7287.8;5540.3;1113.6;8249.2;5.518;1687.4;507;229.855;170;1091.1;22354.61;22.76
4/07/2017;228.43;388.78;2900.9;33864.67;44.03;5199.4;8729.8;1772.9;84.826;1620;144.4;1035;7321.4;1228.9;130.76;74.38;7270;5557.7;1122.1;8479.7;5.622;1704;514.07;227.933;172.59;1092.9;22753.6;23.192
5/07/2017;228.42;388.75;2878.2;33721.16;42.69;5261.9;8657.3;1779.4;84.626;1619;150.8;1048.1;7443.2;1236.9;130.54;73.29;7280.5;5537.2;1134.3;8777.2;5.663;1669;514.49;227.933;171.52;1097.4;22709.27;23.597
6/07/2017;229.259;388.91;2874.3;33665.89;42.55;5169;8621.9;1774.8;85.15;1603.2;146.18;1057.7;7365.4;1245.9;132.16;72.89;7180;5496;1124.5;8840;5.678;1693.6;519;226.942;170.99;1079.8;22489.57;23.247
7/07/2017;226.318;387.28;2868.2;33598.15;42.71;5443.4;8672.1;1789.2;85.093;1602;146.61;1065.9;7535.9;1274.3;133.05;73.09;7254.7;5518.8;1132.8;8823.5;5.662;1699.1;517.88;226.942;172;1086.4;23099.4;23.459
10/07/2017;229.279;393.52;2899.8;33620.43;42.93;5675;8667.2;1780.7;86.16;1603.7;146.09;1060.3;7660.2;1290.3;133.31;74.66;7255.5;5617.9;1138.9;8950;5.735;1733.9;525.3;228.428;174.04;1100.6;23347.66;24.25
11/07/2017;227.808;394.86;2837.6;33584.78;42.77;5551;8725.4;1781.5;86.665;1593.2;147.66;1058;7632;1314.1;131.95;74.43;7167;5664.6;1129.1;8948.2;5.752;1719.9;538.16;229.419;174.49;1111.2;23214.66;25.031
12/07/2017;229.229;403.78;2840.7;34185.56;43.71;5615.9;8859.9;1829.5;88.476;1615.1;149.72;1060.1;7694.5;1320;132.73;74.63;7203.5;5697.7;1140.3;8905.1;5.839;1724.7;548.91;230.906;174;1152.9;23729.91;25.749
13/07/2017;231.253;406.77;2818.1;34952.13;44.12;5648.3;8754.3;1852.3;89.276;1639.8;148.94;1061.4;7755.5;1338.7;133.57;74.98;7225.9;5765.2;1148.8;8747.9;5.914;1715.5;550.72;232.888;175;1150;23634.35;25.408
14/07/2017;231.904;405.37;2748.9;34863.89;43.06;6034.6;8761.6;1863.6;89.714;1651.5;148.99;1069.7;7828.5;1314.8;134.38;74.88;7275.7;5761.9;1147.9;8679.3;5.908;1709.8;556;236.059;176.51;1144.9;23839.26;26.319
17/07/2017;236.82;405.3;2810.1;34591.13;43.39;6192.5;8871.2;1869.2;90.2;1656.4;150.81;1075.9;7883.5;1382.5;135.49;75.62;7435.9;5881.7;1138;8626.9;5.926;1709.8;555.99;236.822;177.99;1160;24103.29;26.254
18/07/2017;234.915;405.53;2811.8;35035.92;42.83;6456.9;8741.2;1849.6;90.495;1647.3;149.81;1070.3;7885.9;1384.9;135.94;75.64;7411.6;5829.7;1153.8;8644.8;5.919;1715;557.37;237.843;173.01;1157.5;24202.79;26.07
19/07/2017;237.294;405.68;2766.2;34701.66;42.64;6178.9;8608.2;1862;90.229;1673.3;149.94;1069.5;7915.5;1374.6;135.97;73.8;7398.2;5820;1131.3;8896.9;5.916;1707;551.13;235.97;175;1172.3;24391.95;28.103
20/07/2017;235.803;407.24;2817.7;34888.84;42.65;5970.7;8648.2;1856.8;90.419;1656.1;150.75;1081;7920.3;1367.1;136.22;73.15;7489.9;5826.8;1124.9;8928.3;5.79;1700.6;550;239;171.01;1156;24685.53;28.259
21/07/2017;235.102;406.26;2792.5;34485.06;42.08;5960.3;8558.6;1848.2;90.105;1648.6;148.49;1070;7797.5;1347.6;136.08;72.94;7350.2;5851.7;1145.7;8859.1;5.767;1715;539;247.5;173;1140.4;24777.15;27.827
24/07/2017;237.629;408.22;2818.9;35018.09;43.26;6135.7;8516.7;1852.4;90.182;1624.1;150.37;1078.9;7724;1345;135.66;74.56;7387.8;5900.8;1138.4;8756.6;5.79;1704.9;532.33;244;173.47;1148.9;24686.52;27.891
25/07/2017;237.313;405.41;2817.9;35125.95;43.64;6452.2;8471.6;1877.2;89.448;1643.6;151.49;1078.8;7707.5;1352.9;136.25;73.99;7446.4;5941;1136.9;8705.2;5.786;1706.1;536.86;245.43;173;1180;25093.39;27.919
26/07/2017;238.774;405.86;2821.3;35371.07;43.48;6452;8599.9;1868.6;88.881;1641.7;151;1072.7;7816.3;1367;136.76;72.93;7407.7;5996.3;1135.5;8697.2;5.792;1717.3;541.33;245.4;173;1213.2;25080.59;27.946
27/07/2017;235.556;408.77;2824.4;35809.62;43.77;6307;8730.6;1862.6;89.996;1648;151.21;1075;7886.6;1387.4;136.01;71.84;7345.7;5989.8;1133.4;8650;5.79;1716;542;245;172;1211;25554.45;27.763
28/07/2017;235.931;407.47;2944.8;35793.58;45.16;6510.7;8798.4;1870;89.8;1645.7;151.67;1060.2;7913.7;1404.7;134.71;71.84;7409.1;5979.6;1125.2;8698;5.785;1710.9;539.52;244.43;174.5;1239;26275.6;27.717
31/07/2017;237.521;409.28;2962.6;35252.52;46.01;6839.7;8661.9;1850.7;91.15;1635.2;151.36;1047.3;7915.8;1412.8;131.29;70.67;7294.7;6061.9;1127.5;8638.6;5.72;1715.3;552.76;246;174;1229.1;26303.19;27.763
