FECHA;AC;ALFAA;ALSEA;AMXL;ASURB;BBAJIOO;BIMBOA;BOLSAA;CEMEXCPO;CUERVO;ELEKTRA;FEMSAUBD;GAPB;GCARSOA1;GCC;GFINBURO;GFNORTEO;GMEXICOB;GRUMAB;KIMBERA;KOFUBL;LABB;LIVEPOLC;MEGACPO;OMAB;ORBIA;PE&OLES;PINFRA;Q;RA;SITESB1;TLEVICPO;VESTA;WALMEX
7/06/2017;138.97;21.74;68.75;14.91;365.35;29.5;46.19;31.07;16.14;32.9;792.86;176.03;186.77;77.84;89.16;32.45;109.97;50.54;242.31;38.01;154.81;23.35;141.25;72.03;100.08;48.88;412.76;194.47;32;104.99;12.32;89.01;26.38;42.28
8/06/2017;133.09;21.97;69.02;14.8;361.55;30.14;46.27;31.6;16.39;32.76;801.74;174.02;185.62;78.47;89.6;32.7;108.49;50.27;241.36;38.82;153.56;23.51;142.48;71.87;99.96;49.17;415.15;193.7;31.93;105.22;12.6;88.34;26.31;42.23
9/06/2017;132.3;21.87;69.03;14.75;364.18;30.26;45.82;31.52;16.8;32.56;844.68;172.17;183.75;77.45;90.24;32.44;108.14;50.58;241.43;38.47;152.54;23.32;141.95;71.94;99.97;49.09;421.11;192.86;31.27;104.68;12.72;88.09;26.4;42.2
12/06/2017;132.48;21.97;69.04;14.7;357.4;30.5;46.92;31.34;16.84;32.96;872.51;171.41;186.89;77.91;90;32.7;109.48;49.92;240.98;39.17;152.44;23.05;141.49;72.46;99.8;49.11;409.9;194.08;30.72;103.84;12.59;88.75;26.3;41.65
13/06/2017;134.77;21.86;69.48;14.46;359.69;30.4;46.13;30.76;16.73;32.69;866.38;171.36;190.56;77.4;89.8;31.68;110.31;49.91;239.92;38.69;150;22.96;141.81;72.5;101.12;49.54;414.55;197.99;30.96;105.58;12.67;89.08;26.29;41.12
14/06/2017;133.75;21.89;69.64;14.49;363.53;30.49;46.76;31.9;16.73;32.61;864.22;171.86;193.4;78.39;89.74;32.37;110.52;50.06;236.3;39.22;150.17;22.99;142.2;72.78;103.59;49.53;419.05;201.58;30.68;106.56;12.85;88.99;26.28;42.16
15/06/2017;134.21;22.09;70.22;14.33;360.93;30.48;47.07;31.52;16.53;32.58;849.22;172.03;193.81;76.67;91.76;32.12;110.82;49.17;237.13;38.97;151.55;22.71;142.8;72.59;103.3;48.4;409.66;200.99;30.76;107.25;13.05;88.36;26.29;42.48
16/06/2017;130.77;21.39;69.85;14.28;365.52;30.69;47.12;33.2;16.6;31.68;761.76;174.05;190.61;78.03;95.13;31.63;113.28;50.2;236.88;39.51;149.82;23;145.22;72.51;102.74;49.02;416.3;205.37;31.04;107.7;13.52;87.77;26.04;43
19/06/2017;132.91;20.97;70.01;14.33;372.46;30.96;46.07;33.48;16.67;31.57;729.47;173.82;195.31;78.24;93.99;31.89;114.68;49.57;233.86;39.21;153.11;22.85;141.79;72.64;103.67;48.15;399.68;208.18;30.35;107.07;13.55;86.85;26.46;42.14
20/06/2017;134.23;20.74;69.93;14.22;366.6;31.15;46.15;32.73;16.54;32;713.3;175.86;193.46;77;93.88;32.33;114.89;49.01;234.53;39.26;154.74;22.88;143.08;72.82;101.63;47.95;400;208.35;29.71;106.35;13.34;86.69;26.21;41.71
21/06/2017;133.35;20.33;70.22;14.42;366.7;31.15;46.71;32.02;16.68;31.9;748.08;175.46;193.68;75.84;90.23;32.16;112.78;48.72;234.78;38.81;153.98;22.91;143.18;73.21;103.07;48.89;395.54;210.12;29.63;106.79;13.14;87.19;26.28;41.5
22/06/2017;135.99;20.43;70.5;14.3;374.06;31.27;46.56;31.65;16.62;31.85;775.56;175.06;198.51;76.75;89.98;31.39;111.91;48.2;235.93;38.88;153.49;23.04;143.23;72.5;104.95;49.43;401.39;210.56;30.41;109.33;13.36;87.02;26.54;42.08
23/06/2017;136.72;20.83;69.73;14.22;373.21;31.56;46.17;31.94;16.53;31.6;758.31;174.19;197.6;76.17;89.62;31.54;113.33;48.31;235.53;38.86;151.04;23.05;143.8;73.97;105.4;48.74;412.55;210.04;30.48;109.99;13.24;87.91;26.65;41.57
26/06/2017;135.72;20.68;70.32;14.42;374.87;31.88;45.93;32.18;16.44;31.03;755.04;175.22;197.25;77.69;91.73;31.34;113.51;48.55;231.99;38.99;149.89;23.08;144.09;73.47;105.17;47.95;416.65;211.72;30.44;113.85;13.37;89.11;26.58;42
27/06/2017;136.12;20.69;69.08;14.35;374.24;32.04;45.54;32.44;16.5;31.29;750.27;174.42;198.52;76.27;92.11;31.12;113.08;49.25;235;38.47;149.94;23.42;142.98;73.01;105.12;47.96;409.07;211.17;30;113.95;13.14;89.03;26.83;41.83
28/06/2017;136.96;20.55;70.04;14.36;382.92;31.82;45.26;32.57;16.81;31.08;747.95;173.93;202.87;76.07;93.89;30.76;113.32;50.22;234.99;38.75;150.59;23.74;144.48;73.06;107.53;48.35;404.11;214.7;30.01;114.67;13.07;90.03;26.85;41.8
29/06/2017;135.58;20.55;69.21;14.36;378.03;31.65;44.79;32;16.78;30.99;751.42;174.97;204.9;75.29;93.8;30.64;114.35;49.69;234.91;38.34;150.21;23.54;144.07;73.68;107.54;48.01;401.24;217.85;30.12;114.66;13.12;87.55;26.66;41.65
30/06/2017;136.39;20.83;68.69;14.6;382.92;31.98;45.6;31.73;17.05;30.93;762.64;178.76;204.39;76.43;93.51;31;115.39;51.07;236.68;38.4;153.77;23.36;143.17;73.34;109.68;48.72;409.53;216.26;30.17;114.97;13.32;88.45;26.83;42.13
3/07/2017;137.48;20.83;69.6;14.68;381.21;31.78;45.23;31.56;17.51;30.99;758.3;177.74;204.01;76.23;93.37;31.01;115.63;52.57;240.72;38.26;154.15;23.43;142.64;73.27;108.46;48.29;410.99;213.47;30.12;114.13;13.18;89.89;26.74;41.84
4/07/2017;136.23;20.88;69.01;14.64;380.85;31.9;44.9;31.42;17.57;30.81;755.68;175.21;203.97;76.67;93.55;30.99;115.89;52.81;242.3;38.22;154.6;23.3;141.31;73.78;108.93;47.93;413.65;213.61;30.24;114.57;13.19;89.82;26.82;41.89
5/07/2017;134.52;20.78;69.88;14.8;377.61;31.99;44.8;31.42;17.89;30.88;774.46;177.59;202.99;75.56;93.75;30.82;115.82;53;242.11;37.52;156.85;23.36;143.75;73.77;107.89;48.34;421.89;212.89;30.99;114.56;13.43;91.5;26.8;41.72
