FECHA;AENZAC1;ALICORC1;ATACOBC1;BACKUSI1;BAP;BBVAC1;BVN;CASAGRC1;CORAREC1;CORAREI1;CPACASC1;CVERDEC1;ENDISPC1;ENGEPEC1;ENGIEC1;FERREYC1;GBVLAC1;IFS;INRETC1;MINSURI1;NEXAPEC1;PML;RELAPAC1;RIMSEGC1;SCCO;SIDERC1;TV;UNACEMC1;VOLCABC1
7/06/2017;2.18;7.88;0.25;17.55;173.5;2.735;12.6;6.3;0.71;0.55;7.5;21.3;5.45;2.808;7.9;1.92;3.3;32.38;17.8;1.4;3.45;0.122;0.241;1.283;35;0.463;0.82;2.44;0.8
8/06/2017;2.25;7.85;0.25;17.58;172.34;2.8;12.72;6.3;0.71;0.56;7.55;21.31;5.45;2.785;7.9;1.95;3.3;32.5;18;1.38;3.5;0.122;0.245;1.283;35.5;0.463;0.82;2.44;0.81
9/06/2017;2.3;7.85;0.265;17.6;173.1;2.742;12.7;6.4;0.71;0.56;7.5;22;5.45;2.785;7.8;1.95;3.3;32.4;18;1.38;3.5;0.122;0.245;1.283;36.3;0.457;0.86;2.44;0.82
12/06/2017;2.27;7.87;0.265;17.6;172.6;2.742;11.55;6.4;0.71;0.56;7.53;22;5.45;2.726;7.85;1.94;3.15;32.25;18.5;1.38;3.47;0.121;0.24;1.283;36.05;0.457;0.86;2.44;0.81
13/06/2017;2.2;7.77;0.265;17;177.5;2.8;11.64;6.38;0.71;0.56;7.52;21.6;5.55;2.726;7.85;1.93;3.15;32.2;18;1.4;3.4;0.13;0.237;1.291;36.05;0.457;0.86;2.35;0.8
14/06/2017;2.2;7.75;0.265;17;180;2.8;11.33;6.4;0.71;0.55;7.5;21.6;5.55;2.726;7.82;1.92;3.15;32.5;18;1.4;3.4;0.12;0.235;1.291;36.05;0.457;0.85;2.4;0.8
15/06/2017;2.15;7.75;0.25;17;178.5;2.8;11.16;6.32;0.7;0.55;7.47;21;5.39;2.726;7.9;1.88;3.15;32.2;17.7;1.4;3.24;0.121;0.23;1.314;34.29;0.468;0.85;2.39;0.78
16/06/2017;2.15;7.67;0.25;16.75;178.9;2.768;11.2;6.28;0.68;0.52;7.45;20.52;5.25;2.785;7.9;1.83;3.15;32.2;18;1.39;3.25;0.121;0.225;1.293;34.66;0.468;0.82;2.35;0.76
19/06/2017;2.12;7.7;0.25;17.28;181.25;2.8;11.3;6.28;0.66;0.52;7.45;20.52;5.25;2.785;7.9;1.83;3.15;32.4;18;1.39;3.25;0.121;0.231;1.301;35.8;0.468;0.82;2.39;0.77
20/06/2017;2;7.7;0.25;17.28;182.2;2.8;11.3;6.21;0.67;0.51;7.48;20.5;5.12;2.737;7.95;1.8;3.15;32.2;17.51;1.39;3.29;0.12;0.22;1.301;33.79;0.448;0.82;2.35;0.76
21/06/2017;2.15;7.85;0.25;17.4;182.1;2.833;11.5;6.21;0.67;0.51;7.5;20.5;5.12;2.726;7.95;1.84;3.15;33;17.5;1.39;3.29;0.121;0.22;1.301;33.95;0.448;0.84;2.35;0.79
22/06/2017;2.1;8;0.25;17;181.8;2.852;11.5;6.21;0.67;0.51;7.45;20.5;5.2;2.726;8;1.82;3.15;33.01;17.5;1.38;3.29;0.121;0.222;1.301;33.95;0.457;0.86;2.4;0.78
23/06/2017;2.06;8.12;0.25;16.6;180.4;2.865;11.6;6.3;0.69;0.52;7.42;20.82;5.26;2.726;7.95;1.82;3.15;33.8;17.5;1.38;3.29;0.121;0.228;1.327;34.89;0.457;0.88;2.4;0.79
26/06/2017;2.06;8.25;0.25;16.6;180.4;2.872;11.46;6.3;0.7;0.51;7.45;21;5.26;2.726;7.7;1.84;3.2;33.8;17.51;1.38;3.29;0.121;0.228;1.327;34.9;0.457;0.88;2.45;0.8
27/06/2017;2.1;8.25;0.26;16.5;179.7;2.898;11;6.26;0.7;0.52;7.5;21;5.3;2.726;7.8;1.83;3.2;33.8;17.51;1.35;3.39;0.121;0.23;1.327;35.18;0.457;0.94;2.45;0.82
28/06/2017;2.15;8.2;0.27;16.5;179.81;2.911;11.05;6.18;0.72;0.52;7.45;20.9;5.3;2.726;7.85;1.8;3.3;33.5;17.5;1.36;3.39;0.121;0.223;1.327;34.6;0.457;0.96;2.36;0.81
29/06/2017;2.15;8.2;0.27;16.5;179.81;2.911;11.05;6.18;0.72;0.52;7.45;20.9;5.3;2.726;7.85;1.8;3.3;33.5;17.5;1.36;3.39;0.121;0.223;1.327;34.6;0.457;0.96;2.36;0.81
30/06/2017;2.16;8.14;0.27;16.5;179.5;2.911;11.63;6.18;0.72;0.52;7.5;20.8;5.26;2.726;7.83;1.81;3.3;34;17.5;1.36;3.39;0.121;0.225;1.301;34.77;0.455;0.96;2.36;0.83
3/07/2017;2.17;8.16;0.27;16.5;182.09;2.911;11.2;6.2;0.72;0.52;7.45;21;5.26;2.726;7.83;1.81;3.3;34;17.45;1.36;3.43;0.121;0.23;1.293;35.15;0.457;0.96;2.36;0.83
4/07/2017;2.17;8.15;0.26;16.6;182.09;2.931;11.52;6.2;0.72;0.52;7.51;21;5.27;2.714;8;1.82;3.3;33.8;17.5;1.35;3.43;0.121;0.236;1.293;35.15;0.457;0.99;2.36;0.83
5/07/2017;2.15;8.15;0.26;16.35;181.9;2.931;11.65;6.18;0.72;0.52;7.45;21;5.35;2.714;8.01;1.81;3.3;33.75;17;1.34;3.55;0.121;0.235;1.293;35.09;0.457;0.98;2.36;0.83
6/07/2017;2.15;8.13;0.26;16;181;2.931;11.55;6.18;0.71;0.52;7.51;20.75;5.35;2.714;8;1.82;3.3;33.75;17.3;1.34;3.53;0.121;0.23;1.293;34.65;0.457;0.97;2.36;0.81
7/07/2017;2.08;8.14;0.26;16;182.2;2.924;11.5;6.15;0.7;0.51;7.48;20.63;5.35;2.702;8;1.82;3.3;33.75;17.32;1.33;3.53;0.121;0.23;1.293;34.95;0.446;0.94;2.38;0.81
10/07/2017;2.08;8.14;0.26;16;182.2;2.807;11.53;6.15;0.7;0.51;7.35;20.65;5.4;2.702;7.9;1.79;3.3;33.8;17.32;1.33;3.53;0.121;0.23;1.301;34.95;0.446;0.97;2.38;0.81
11/07/2017;2.1;8.14;0.26;16;184.4;2.891;11.64;6.15;0.7;0.51;7.37;21;5.4;2.702;7.76;1.8;3.3;34;17.33;1.33;3.55;0.121;0.223;1.301;36.03;0.444;1;2.38;0.83
12/07/2017;2.12;8.2;0.26;16;185.9;2.833;11.85;6.15;0.7;0.51;7.5;21;5.35;2.726;7.8;1.77;3.3;33.99;17.4;1.33;3.53;0.121;0.223;1.293;36.42;0.444;1.07;2.4;0.83
13/07/2017;2.1;8.31;0.26;16;185.19;2.832;11.8;6.2;0.7;0.51;7.5;21;5.35;2.726;7.8;1.77;3.3;33.98;17.4;1.33;3.54;0.121;0.235;1.293;36.62;0.444;1.06;2.4;0.84
14/07/2017;2.11;8.4;0.26;16;186.7;2.832;12;6.21;0.7;0.51;7.55;21.85;5.44;2.726;7.8;1.77;3.3;33.99;17.4;1.34;3.54;0.121;0.23;1.293;37.06;0.444;1.05;2.4;0.83
17/07/2017;2.08;8.39;0.26;16.15;185.4;2.962;12.1;6.23;0.7;0.5;7.55;22.3;5.44;2.702;7.85;1.79;3.3;34;17.46;1.36;3.56;0.127;0.23;1.301;37.97;0.425;1.1;2.38;0.84
18/07/2017;2.08;8.3;0.26;16.2;185.4;2.89;12.1;6.23;0.7;0.51;7.62;22.6;5.44;2.761;7.85;1.78;3.3;34;17.7;1.36;3.6;0.127;0.234;1.301;37.72;0.444;1.08;2.4;0.84
19/07/2017;2.09;8.26;0.26;16.2;185.6;2.962;12.1;6.32;0.7;0.52;7.62;22.7;5.44;2.761;7.85;1.79;3.3;34;17.72;1.37;3.6;0.127;0.235;1.301;37.92;0.444;1.06;2.4;0.85
20/07/2017;2.1;8.2;0.262;15.99;185.2;2.962;12.3;6.34;0.7;0.54;7.62;22.72;5.5;2.761;7.86;1.8;3.3;33.75;18.05;1.37;3.55;0.127;0.232;1.301;37.9;0.457;1.01;2.4;0.87
21/07/2017;2.08;8.19;0.262;16;185.6;2.962;12.3;6.34;0.7;0.54;7.65;22.7;5.6;2.761;7.95;1.79;3.3;33.75;18.3;1.39;3.55;0.123;0.232;1.301;37.88;0.457;1.02;2.4;0.88
24/07/2017;2.12;8.19;0.262;16;184.2;2.962;12.25;6.45;0.7;0.54;7.6;22.7;5.6;2.761;8.16;1.79;3.3;33.75;18.3;1.39;3.56;0.123;0.225;1.301;38;0.457;1.07;2.47;0.87
25/07/2017;2.1;8.1;0.262;16;185;2.962;12.39;6.55;0.7;0.53;7.66;23.01;5.6;2.797;8.2;1.8;3.3;33.75;18.3;1.39;3.6;0.122;0.225;1.301;39.28;0.457;1.08;2.52;0.87
26/07/2017;2.14;8.02;0.266;16.01;187;2.962;12.3;6.5;0.74;0.53;7.6;22.86;5.65;2.797;8.2;1.8;3.3;33.75;18.3;1.37;3.65;0.127;0.22;1.301;39.45;0.457;1.08;2.5;0.88
27/07/2017;2.14;8.3;0.275;16.01;187.41;2.962;12.48;6.63;0.74;0.53;7.62;22.9;5.7;2.797;8.15;1.8;3.3;33.75;18.3;1.37;3.72;0.127;0.225;1.301;39.45;0.457;1.08;2.5;0.89
28/07/2017;2.14;8.3;0.275;16.01;187.41;2.962;12.48;6.63;0.74;0.53;7.62;22.9;5.7;2.797;8.15;1.8;3.3;33.75;18.3;1.37;3.72;0.127;0.225;1.301;39.45;0.457;1.08;2.5;0.89
31/07/2017;2.12;8.31;0.289;16.02;185.3;2.854;12.22;6.59;0.74;0.51;7.65;22.8;5.7;2.797;8.1;1.8;3.3;34.5;18.5;1.37;3.74;0.125;0.212;1.293;39.57;0.457;1.05;2.55;0.85
1/08/2017;2.16;8.41;0.28;16.01;188.7;2.89;12.25;6.35;0.74;0.53;7.6;22.5;5.65;2.797;8.1;1.85;3.3;34.4;18.8;1.32;3.8;0.125;0.215;1.293;39.5;0.457;1.03;2.5;0.86
2/08/2017;2.18;8.5;0.288;16.01;187.8;2.832;12.25;6.3;0.74;0.53;7.76;22.48;5.65;2.785;8.15;1.87;3.3;34.4;18.75;1.32;3.8;0.125;0.22;1.293;39.44;0.457;1.03;2.51;0.86
3/08/2017;2.22;8.65;0.288;16.01;189.9;2.832;12.25;6.2;0.74;0.53;7.61;22.06;5.65;2.785;8.1;1.88;3.3;33.75;18.95;1.32;3.8;0.13;0.218;1.293;39.56;0.457;0.99;2.54;0.85
4/08/2017;2.24;8.71;0.29;16.05;189.01;2.883;12.12;6.25;0.74;0.52;7.61;22;5.65;2.785;8.1;1.88;3.3;33.75;18.95;1.32;3.8;0.13;0.219;1.25;38.65;0.444;1;2.52;0.84
7/08/2017;2.22;8.74;0.29;16.15;187.8;2.861;12;6.25;0.74;0.51;7.61;22.5;5.65;2.785;8.1;1.87;3.3;33.9;18.95;1.32;3.8;0.13;0.217;1.25;38.79;0.436;1.03;2.52;0.83
8/08/2017;2.2;8.75;0.305;16.5;195;2.854;12.13;6.25;0.74;0.5;7.49;22.75;5.65;2.785;8.1;1.85;3.3;33.75;19.05;1.35;3.75;0.133;0.21;1.25;39.15;0.42;1.04;2.52;0.84
9/08/2017;2.14;8.74;0.335;16.5;200.4;2.868;12.32;6.24;0.74;0.51;7.5;22.75;5.5;2.726;8.05;1.83;3.3;34;18.87;1.32;3.6;0.132;0.213;1.25;39.25;0.422;1.03;2.5;0.85
10/08/2017;2.1;8.6;0.334;16.5;193.6;2.839;12.37;6.25;0.74;0.51;7.5;22.75;5.5;2.714;8.05;1.81;3.3;33.8;18.5;1.3;3.55;0.133;0.211;1.216;38.61;0.422;1.04;2.49;0.83
